Sentiment,tweet
1,@marioSOTM I ended up helping out Radio 1 newsbeat out there. It was a massively fun evening I spent with them. Champions of England! 
1,@pmdhazy While your at it can you make me a thingamy? Looks a bit like |___/\ but bigger and it offer a hole in it  #engineeringdrawing
0,FINALLY IM BACKKKKKKK!!!!!!!!!!! =D and with bad news  R.I.P. Don To~o...
1,Happy Mother's Day to the wondeful Mum's in America  God Bless You All.
0,says i so miss justice  Broom box kada. 
1,@Primevalfans aw cool  and the woman who plays Morgana in Merlin is in it too
1,@TheUncoolest 
1,Night in with the rock star...  
1,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 
1,ugh i wish this school year would go faster so i can move on in life 
0,@IrieDiva can only make what the company has available 
0,"@rhysatwork @dsko @beet09 @ausi1 Hope you guys are all going well with your #NET12 assignments...I'm trying to cut 34,354 down to 3,435 "
1,Off to Whipsnade  Hope it's dry
0,i was at the park today and i was racing my cousins and i slipped and cut my arm 
0,Keen for hey monday to make a mess in new zealand.. if only!  i &lt;3 jesus. Straight up christian
0,"@therainbowgirl Ah, poor you  I hate when that happens!"
1,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing "
1,@openak it's just you and me bro 
1,Setting up the wireless access layer of my network today. Mesh lab coming online.  can't wait to run loads through it and gather data.
0,Its official my boss and savior is leaving arco arena for future endevors.  This really sucks 
1,"@mithss mourniiiiiiing eh, morniiing!!! "
1,in business lesson ...listen 2 music 
1,Enjoying the last rays of the weekend sun 
0,@_KrishaMarie they have a TapEx on campus.  Safe to say they make lots of money.
1,"ok ok .. i'm completely stuffed  full of AVOCADO   i thnk if i was on Survivor, i'd be fine if there was just one avo tree "
0,@imaginarypeach now your leaving me  .... -gets sad-
1,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! 
1,"@tamiami1976 Don't ask me, I still have no idea how to work twitter. "
0,@BaileyyScott I miss you fool 
0,Really craving some chocolate ....i think i should continue my diet 
0,OMG. I have a pimple coming in on my forehead. I guess its true...no body's perfect 
1,luvly day in the sunshine  onli 4 days now :0 OASIS
0,"last day at the sioux falls salon, i will miss my younkers family..  #fb"
1,@ItsNeet 100%.. its like getting an A for all your classes.. 
1,"@alinemcintyre You should work on the next cruise, amiga! "
1,@4prina can u check mine out and tell me wat u think  www.myspace.com/trabeezy
1,i have find my someone 
1,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us 
1,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt
1,I'm obsessed with twitting  haha
1,is on the phone 
0,@SoulAdored65  so horrible.... the poor mom...
0,@malcolmbastien I do... But then what after that? A desolate wasteland of nothing! I'll be like Mel when he was left naked in the desert 
0,The garden looks beautiful! Too bad you can't see it!  
1,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. "
0,"My smartcard fell out of its holder when I was going home today. If anyone finds it, please tell me "
1,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs"
1,Starbucks! The best way to start the morning 
1,"How I Met Your Mother - The Leap, Tomorrow 2.am. "
0,is already up and tired 
0,@charlottespeech I never got a bell 
0,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad 
0,Josh just owned me and justin in skate. Time to study 
0,@TamboManJoe do you know how important is for me what you said? you make me cry  hahah
1,@vanitaapplebum I am so tired of dreaming I am ready to see some reality..  
0,Looks like I might be staying in tonight 
0,"@jbfan10101 I know, right!? I wanted to have an account there so I could get that song, but mom wouldn't let me.. It sucks "
0,homework all day  ugh
0,Doh! My dad jumped into the ocean with his camera in his pocket! 
0,so so so so BORED! 
1,"@aBetterPlace DUDE!  I got to meet you! Future East Coast meetup, you are hysterical!"
0,@singlegirlie I feel your pain. Disneyland today on 3hrs of sleep 
0,@FromFL Fine food &amp; friends this evening huh? @BlueCrewDNeLLy will be missed! 
0,Damn......its raining 
1,i have a bb pearl here. the keyboard wont let me type a phone number. what should i do? im a SE boy 
0,@kiwinerd Ugh! So sorry. 
1,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net "
1,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow 
0,Why couldn't it have been Rodrigo  #BB10
0,@JaneHungOz Hey there!  You are here for the fun... until Twitter goes down for maint 
1,Has just joined Twitter.. It better be good! 
0,too much music and nothing to put it on 
0,@singlegirlie I'm not sure if Mr Saturday is playing games or not. He had to back out of our dates this week because he's sick 
0,@ItsJustMe_ He never mentioned amaeballs!  The moment has passed. Sad.
1,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making "
1,@nsarryeh your rockinggg twitter..im sooo proud of u 
0,Feel bad for my woman. 
1,@mattchew03 LOL yes but Lerff facts predate that!! 
1,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late
0,"Happy Summer Solstice- in the Northern Hemisphere summers solstice began on June 21, 2009 at 1:45 A.M. EDT  Now the days get shorter "
0,@TheRealLFO july 10th!!  i bet i have 2 work! come 2 charlotte! i'm sure my manager wouldn't mind if U sang to me in the fittingroom LOL!
0,idk how to help anymore. maybe youll just have to learn the hard way?... whatever im going 2 bed. drivers ed is gonna be hell tomorrow 
1,"No your today though, so thegirls are free to relaxin the scottish sun "
0,"At work, drinking coffee, kinda listening to local news...hungry as usual "
1,@minxdeluxe thanks! let us know if you need any info from us 
0,thinking there are some changes i should make to my papers... but i've already printed them 
0,On my way to university again. Miss my learning group this morning. 
0,@254mochacharlie losing 10 lbs by 7/15 will be easy? Tell me ur secret!! I've been trying for 5 lbs for months but not getting anywhere. 
1,"is new to twitter. offerings of HELP, are warmly welcomed  hahaha."
0,at church...not feeling very well at all 
0,No props for the Wine Merch?  
0,Heidi has officially destroyed my frogbur  Hopefully I can fix it!
1,im still eating some chocolate from easter  homework/studying for half yearlys is waaay too boring. i prefer the interent xD
1,@sbhoools Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
1,@The_OC I was looking for your Breakfast Show page and failed miserably! Where is it?! 
1,"@davidwalters Shwmae David, @Banksyart is now at @Banksyart2 - has been posting there since having probs with his @Banksyart account. "
0,I can't play voleyball today!!  I have to go to the doctor
1,@No1Carrington the same reason why i always look forward to reading your editorial in the www.fandwb.com  Love from everyone @trrs
1,Leaving Florida. So excited 
1,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today 
0,It seems a new FriendFeed User Interface (UI) is coming soon. The current one was too young.  #friendfeed
0,Driving my niece back to Boston on Easter Sunday: Priceless. Blowing through the FastLane without a pass: $50 
0,I hate the rainnnn...it makes my allergy three times worse! 
0,@laubow_ to be fair I think part of her is happy she didnt win. She looked under so much pressure 
0,"Hmm, my sons are on the couch playing NDS...for hours "
0,is not looking forward to work or school 
1,@DENISE_RICHARDS love your hair  dont ever cut ur locks 
1,@atxbrowncoats Can't wait!!!  We're super excited. 
1,@Dee_Dee_3 high low 
1,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx"
0,"morning world. I feel pretty good. I slept for 9 hours til 10:30pm, then another 5 or so til now. Boyf woke up with an upset tummy tho. "
0,"David Mitchell's presenting 'Have I Got News For You' tonight &lt;3 I love him! I think he's ace &lt;3 On another note, damn this headache "
1,On schedule now to soft launch tomorrow evening - already have first customer - lost cat 
1,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; 
1,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old 
0,"@DavidArchie aww, have fun! wish i could go "
1,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? 
0,god me chest feels bad today feel like if a little elphant has sat on it can no breath prople 
0,"Torn, I really want to get http://tinyurl.com/kmjg9k for Hazel, this is a great deal, but shipping costs just as much as the hat "
0,@lovemetoyou Ouch   It will heal up OK - I did that a couple of months ago with my thumb. I know it hurts though 
0,@kerenshandrow was listening to wake durring my surgery. the phone fell on the way to recovery lost my place when the  batery popped out 
1,awh poor brent! for an old guy he was pretty cute 
1,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!
0,@londonveggarden I wish I was living in your latitudes. My tomatoes are still inside  But radishes are doing well at the allotment
0,@Harsayis I'm so jealous! i'd love some all you can eat chinese! 
0,just got a call...my Prius is delayed another week or so.    EVERYONE wants the solar moon roof.  6 others waiting...it's MINE!!!
0,The stars are out. Where were you when I needed you 
0,"Man, it's a horrible day to be stuck inside working. The sun wants me to go outside. "
0,I really have trouble writing stuff when there's no audience for it. I'm sure that says something. Something about me 
0,@Boyislost They seem to be a few mins behind sometimes. Sorry.. I keep refreshing  Are you going to bed?
0,"@techninjoe cause im a weakling..lol..for real tho im a preme..born 2 months early so i got like bad heart, bad sight, bad back, umm yea "
1,O how i love you sammoons  o how i do. 
0,i miss mummy 
1,new phone  tattoo on monday! Woo.. just had tea. yummy.
0,"@Keith_Smyth coffee n toast? say wt lol, gna miss stu  4 4 whole weeks xx"
0,why can't i twitter on my phone?! *sulks* 
0,@jafane5 @spahkleprincess i sadly was not there 
0,My hands have lost half their movement! 
1,@RobbieTaylor I have no comment about who won the game until this replay is completed. 
1,is in trevs room; about to do bon qui qui 
0,"Just woke up, must have been asleep for 14 hours. CG-Podcast is on hiatus till im well. Im too weak and contagious "
1,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas 
1,"In Lucien's Library you'll find the complete story of http://ping.fm/iHeVU Someday,we'll finish this "
1,Downtown Disney 
0,@Cubbydaniel pos aver ... I'm waithing for my sis to come back with my food if alex goes Ill go cause my bro took my car 
0,why HER? whywhywhywhywhy. Yes I'm aware I'm just jealous but it still bothers me. ughhhh 
0,locked out of friendfeed account... pw no longer works... verification email does not come for hours 
1,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. 
1,"And then Will Farrell ran out with a banjo. Yep, Land of the Lost was funny. "
1,@pawsitivlycorky Cute 
0,i need a car holy crap 
1,got one because of my babygirl 
1,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  "
1,@mileycyrus i meant to reply you but..i kinda replied your dad  oopsy..anyways how can i vote
1,Alright this is my debute twitt  yay lol
0,@lrpw1302 Im covered in the bloody stuff. Cant use bathroom untils its dried. Children look on in amusement 
0,I was sleepin like a baby then i woke up at 3 am 
1,@Alyssa_Milano do celebs get more characters than the rest of us? 
0,all of my Horny Kitty's have left me 
1,Keyshia cole loves bebe too!!! 
0,@renee_66 hey i tried to buy ss album but it didnt work  stupid computer is gay
1,"@Kathleennyc aaaawww, it's always good to live a little. "
1,just got home from a fun night out! the beach tomorrow morning 
0,is ready for work to be over so she can crawl back in bed and maybe get a few hours sleep... 
0,Rainy day in Philly  looks like it's gonna be a movie night.
1,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see 
0,@coopermoto LONG time to ge on hold lol I was told 10 days + also had 2 have a credit check because I'm a new customer and trading &lt;1year 
1,@skovi nice.  will let you about our next spiritualwarriors.com screening 
0,I`m going to see my honey today.. ah - just see him on the weekends because hi`s at the army 
0,english hmwk sucks  xx
1,He'd go anywhere with me 
1,@squirrelyTONKS Go for your life 
1,Just found out there will be a cmap rock 2. wow pretty happay 
0,Recovering from a nyquil hangover. Blah 
0,I might take a short little nap right now... Like half an hour... My head hurts from not sleeping... 
0, still tired after nap
0,"This was the house I grew up in: http://bit.ly/rXb1m It's abandoned, trashed, half burnt down and hobo-ridden. It's really sad. "
1,Finally done work YAY 
0,@carlacharisse yeah.i love food.but you're so small carla.i'm flabby 
0,Damn no Burning Bright 
1,@heycassadee Can I ask a question? 
0,Ready to leave blackpool 
1,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven "
1,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! 
0,"is unfortunally watching transformers 2 revenge of the fallen 2moz but i dnt wanna c it, it nt gt rob pattz in "
1,@Shadez mmm...i wouldn't mind li'l Katy's either.. 
1,"@Salteh Happy Birthday, mate! Have a good one! "
1,"forgot my macbook's recharger, that means nothing but Pratchett for me today "
0,@maldenic I get why you'd be asking about Batman... I'm not sure I want to know why you're assuming it involves penises as well 
0,"Oh, Noooooo French Test!!! "
0,ahh. bimbo..what the - is she trying to do 
1,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving "
1,i haven't laughed this hard in a while 
0,Exam tomorrow 
0,Grrr - just spend the last 15 minutes making french toast only to discover there is no tomato sauce 
0,@p0pisdead thanks for the tips.  I'm definitly gonna invest in a steamer.  
1,@whoisright We've had a lot of rain here lately. So I'm expecting a TON of May flowers. LOL Enjoy your day. 
1,"got dad's birthday present, good price    i hop he doesn't read this - dad if you do, don't look!   revising... http://tinyurl.com/mbz55v"
1,Sitting In North Carolina With Olivia 
1,@the_spinmd the guys behind the scenes have been working hard to please you (and the other millions of fans!) 
0,@markhoppus Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA 
1,At red lobster with the rents 
0,I feel so bad for my kitty  I just want him to feel better
1,my last nite in work for weeks.....ah im in such good humour 
0,@Flyassmill I needed one after this I work 10 days in a row 
0,@sevinnyne6126 That's Life 
0,i'm sooo tired. been up since 9am and since then running errands and stuff. i wanted to go out tonight but i think i'll fall asleep soon. 
0,"@ChubBBoy Oh, yowch! Poor car "
1,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite 
0,i wanna talk with you right now 
0,I miss Trevor more now that he's over seas. Tough being in love with an airman. 
1,@TheDailyBlonde sometimes 
1,Hey! How are you? I thought you'd like some Maestro Knows-Tour Edition  http://www.vimeo.com/4966590 Enjoy!
1,@ReginaPearl morning! And me &amp; you don't do anything but tweet! 
0,@Trobo1 I wish I'd been at the game. 
0,u shud watch it .... i almost cried  
1,@cali_g510 ok   I got you!
1,more storms! 
1,@LFTA ...And Prince - Erotic City (Feat. Shelia E) 
1,@HarlieRae welcs  and I'm happy you will have a new profile picture
0,@shawnee_dj yeh  bad times 
1,"@RugbyDog Yes, I did get the reply. I didn't know there was one, either, but I thought I'd ask Give you something to do on the weekend. "
0,@Kami88 yea man that's when Bad Boy actually had talented artists 
0,at the airport. hungry. 
1,@nicolex33 thanks my little sparrow 
1,@roninotter Happy Birthday!  
1,making a pirates club 
0,IT'S MY B'DAY 2DAY!!!!!!!!!!!!!!!!!!!! 26 YRS OLD 
1,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard 
1,@laurie_pringle I mention it in the blog post. It's in Vancouver. 
1,I am soooo happy!!! 
1,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  
0,feeling like an old lady..suffering lower back pains uhggggg. i guess it's PJ'S &amp; PILLOW TIME for me 
1,life and its webs it weaves... glad we're brought closer during the simplest of things...  fam
1,had a lovely birthday.  http://plurk.com/p/xedq0
0,@salioelsol08 ew. 
1,@LexiePixie Cool! Have a super day 
1,@markowen Always a pleasure Mark 
0,http://twitpic.com/87lpp - it was beautiful once 
1,&lt;/cluster emoting&gt; Thanks for humoring me. 
0,This is going to be the week from hell...I have so so so much to do! 
0,@radqueen I WANT TO SEE PICTURES. 
1,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.
0,"Going to physical therapy and then.. study biology! YAY! I wanted to see @marcoluque today  PrÃ³ximo stand up eu vou, prometo! "
1,@chor_leoni @Fantasy_Art @NxEW Thanks for the follow Friday! 
0,@musikhoodtheory come cuddle with me! I'm allll alone!  lmao
1,helloooo everyone 
0,Blah! I should be asleep for today's 10 am rehearsal but I don't want too! &gt;.&lt; Hehe I'm not sleepy and I don't want to wake up early! 
1,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! "
0,@ddlovato why arent you at the mtv movie awards? i was looking forward to see you n tv 
0,Drinking break... Alc free Weizen is out...   http://tinyurl.com/mdvqpn
1,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow
1,"Ok,this lil Tweeter is pooped,I'm going to dream that fairies come and clean my house!!Thanks for Ur time and tweets! Gnight.. "
1,@daveracingkites http://twitpic.com/5ezxy - go to bed. 
1,working all day... of what a day. at least i have thanksgiving leftovers for lunch 
1,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile 
1,@CapnSkulduggery I was just thinking we need some sort of logo. Like... The coriandr rabbit on a train 
0,oh my God.. my laptop has a crack  all my fault 
1,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? 
1,cleaning + laundry = 
1,Have you asked your mother about my sleeepover thing? 
1,"@taylorswift13 that was a very entertaining few minutes spent reading that, i recorded the today show as soon as i heard you were on it "
0,@SarahDownSouth Me neither. 
1,"is downloading, downloading, downloading. "
0,"Oh. Em. Gee. My Dad has been caught smoking! He quit months ago and has suddenly started again. Tut, tut. I'm so disappointed right now. "
0,UGH la fitness closed at 8pm  i drove there for no reason! grrr
1,@Jessicaveronica I love the song Untouchet 
1,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! "
1,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? 
1,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. 
0,"@Bahamabob Mosquitoes, not yet but they'll arrive soon "
1,dude where is my car ??? 
0,I forgot my homework 
0,@TheHouseofMouse I love these! But I am broke 
1,@Lumiel Aren't you sweet? 
0,@rhys_isterix I can't get that horrible dream I had last night of Simbacat out of my head!  Its unnerving me! 
1,"Oi @ksymmonds Follow @leespoons - he's funny, nice bloke &amp; a bloody good mashup producer "
0,"Hey Hannah here, training so far has consisted of two gym sessions (need to buy a bike) of 20km in 51 minutes. 40km on day little worried "
0,No dice. The coaches made a big mistake not picking Jacob. 
0,URGH so frustrated  tomorrow is the start of school.. so not excited AT ALL :|
1,@CLR407 a lil.  thanks. &lt;3
1,@nickcarbone sounds like your dillo day was epic! Just wait until next year when I'm back 
1,"@fldhtrsxl 10 is fine by me. The longer I'm out of this house, the better, tbh "
0,"I don't like hearing the birds, its an indicator that I should be asleep, but I can't "
1,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. "
1,being bored and sitting on the computer 
0,damn! it's already sunday 
1,@Wolfie75 Welcomes home  Glad you had a fabbo time!
1,Oh - and yes @JeanGWang the audio is royalty free! 
0,"@FantasyParade I have more in the house but none with me   I could really go a nap. Or a cup of coffee, either one."
0,my blog is crashing my browser 
1,@requin I FUCKING AGREE! I hate that shit almost as much as I hate o.O and  and XD
0,@himynameisemmy you're making me jealous  i don't have mine yett  it better come todayy ughh
0,well it's time to go back and study  i hate studying for exams...well wish me luck! gonna tweet on my next break..love ya all! &lt;3
1,morning tweeple  hope you all have a great monday
1,@itslucyliu http://twitpic.com/67iee - Hello girl wanna be friends please. xoxo 
1,"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii"
0,No Rafa at wimbledon?!?!?! Check it out  http://www.timesonline.co.uk/tol/sport/tennis/article6538282.ece Man oh man.
0,smmfh . mad at tmobile right now qot ma stoopid web quard up kan`t even add ma twin on twitter 
0,Trying to keep hope alive for the cavs 
0,@Emily_lovesyou haha is he really? he is a hottie!!and funny! fjdska;f fly with me videoo!! so im not making dresses anymore for hte show 
0,New iPhone firmware rocks. Waiting on mms from AT&amp;T  #AT&amp;Tfail
1,#musicmonday King Blues My Bolder 
0,@ZOMB1E awe  I'll talk to him if you want?
1,@gfalcone601 well at least you had a great time and thats what's important! 
0,@sleepysongbird yeah they were supposed to but the writers didn't want that in the first season.  GOOD i can only handle 1 girl having him
0,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. 
1,"@AlexAllTimeLow its not fair, you mostly reply to jack, only! :] love you though "
1,"day 2 of the &quot;fun &amp; friendly&quot; Bohol adventure with Jam, Daph &amp; Kuya Gunns is about to end. best vacation by far.  next year uli? "
1,Just a little shake  #earthquake - back to editing.   http://yfrog.com/5ehrsj (via @joshcoxrun)
0,"Oh, that's just sad. My Direct Messages thing won't send Demi my message!  Hope it'll work soon... LOL. "
1,Figuring out how to live a life where I'm my own boss... fun 
1,"@KatieMcCullough Ya didn't fail, me dear! And there ARE good people out there - I know a lot of them! "
0,OMG i wish i was at Aaron Kwok's concert...... 
0,Some animal attacked the duck nest.  All the eggs were destroyed.  Sad.
1,eating lunch right about know 
1,@dance2jeffreee I have already watch that video lol 
0,@glamourdolleyes We have one - it is out of stock 
1,cant wait to see Denise and Janet 
0,http://twitpic.com/3iw7p  last picture of the countdown before I had to erase it 
1,"i made 29 updates today, my record xD talk to you tomorrow bye "
0,The movie The Knowing made me afraid to be alone in my room  WHY am I five again!?!?! Ahh 
1,Belanja Kaos itu gampang! www.kaoskita.com T-shirt shopping just a few clicks away. 
0,wonders if he is ready to love again...  http://plurk.com/p/syd8e
1,Watching the Jon Ross show 
1,@rach_e &amp; @gobi_one No being locked out taking place today then 
0,ive broken my bloody leg  hit a curb in tenby on holidays and am in total agony.  Watching BGT at the moment.  I really enjoyed Shaheed
0,@DorkierThanU  how do u play?
1,Hi Tweeps  now following @dotastronomy http://dotastronomy.com/ exploring the connection between astronomy and the internet
1,@MadisonCreek Thanks...yea I've known her since she was like 7...great kid...like another niece to me. 
0,work soon 
0,REALLY WISHIN i was in Cali.  1. For Taco Shop in* San Diego (YUM!) and 2. For the Jay-Z/Eminem show in* LA. (Sighh)
0,"getting the donut off the ride today! laughed so hard w/ breezy last nite during wipeout, think I pulled somethin  need 3 Help desk peeps!"
0,feels sad  only one person can make her feel better xxx
1,Morning all  Up and at the washing machine already!! Going to mum and dads house to get the house ready for wedding day...busy busy busy
0,@Jstarrrrr im sad i wont be able to partake in all the late night drunkness that is bound to happen this weekend 
0,Finally convinced him to go see some Peaches tomorrow night but it's sold out 
0,feels sick.. i hope i dont have some type of swine flu! 
1,"lazyness on a sunday? oh, yeah! see y'all l8r "
1,Its official.  steph penny can sing!  nicely. 
1,I will try to remember to Twitter from the George Strait concert 
1,going to take some photo and ride my whole new bike~~ 
0,Back at work 
1,"Hai, anyone wanna hang? "
0,headd acheee 
1,I have got to bid ou all goodnight tweeps. Need to spend more QTwith @Mike103g the miniscule before he leaves for the week 
1,@itoinkyou I just mailed my application 
0,i'm feeling soooo much better yes! ahhh bored though waitin for the boo to text me 
0,My STEP employment at the VA counts for nothing in their system. I'm not status'd 
1,i can't believe this is all part of my detox (it is) because i was so fine and now i'm talking all core wounds! oh my god! jesus help me! 
0,@QuEeN_AnGeL84 Awww i hope you feel better love...this weather is crazy...  
0,"is trying to study for exams, but my eyes keep dosing off. imma fail! "
1,"@Young_SoulBlade hey, wassup? "
0,Is wishing she had enough money to travel with her best friend in Europe 
0,@Teanah Jesus god no. It was awwwfulllll. 
0,"@meiii_ His manbits are *ahem* swollen. They think it's fluid, not a big deal but may mean that he needs surgery to correct it "
1,@Remy_Foster LOL I'm in your favourites 3 times!!! 
1,"@Destini41 Have a safe trip, Desti, and have lots of fun!!! Hope you can tweet us a lot  And give @crystalchappell 4700 kisses from us"
1,@ryanstar http://twitpic.com/6ub7v - Great view 
1,mmm taco doritos=heaven in my mouth 
0,@tierra_Leone yo word lmao smh I got a few 
1,"MTV Movie Awards yesterday: congrats Robert, Kristen, Miley and the Twilight's makers.  &lt;3"
0,@CallyGage can you believe that only a week ago today we were blagging that boat party? Good times 
1,kgs_official@mrsstudmuffin aww thank you  U rock too! xo
1,@cocababy202 hahaha it washed all the sick off of me. 
0,"You can't break stand in a BMW, oops. Learned that the haed way "
1,"For all you WAH types BBC2 is showing Tron it just started 11am, go and Sky+ it for later to educate the kids "
